company_name;category;offers
HRK;Financial Markets;2
HRK;Energy;not received
HRK;Engineering & Manufacturing;18
HRK;FMCG;16
HRK;Human Resources;18
HRK;ICT;12
HRK;Legal;2
HRK;Logistics & Purchasing;6
HRK;Media;not received
HRK;Real Estate & Construction;9
HRK;Retail;1
HRK;Finance;5
HRK;Professional Services;5
HRK;Life Science;2
HRK;SSC/BPO;20
HRK;ITC;5
